"","Date","Rise","Set"
"1",2013-04-01,621,1906
"2",2013-08-01,532,1959
"3",2013-12-01,750,1707
"4",2013-02-01,753,1754
"5",2013-01-01,809,1717
"6",2013-07-01,506,2021
"7",2013-06-01,504,2011
"8",2013-03-01,714,1830
"9",2013-05-01,534,1940
"10",2013-11-01,713,1732
"11",2013-10-01,637,1820
"12",2013-09-01,605,1913
"13",2013-04-02,620,1907
"14",2013-08-02,533,1958
"15",2013-12-02,751,1707
"16",2013-02-02,752,1755
"17",2013-01-02,809,1718
"18",2013-07-02,506,2020
"19",2013-06-02,504,2011
"20",2013-03-02,713,1831
"21",2013-05-02,533,1941
"22",2013-11-02,715,1731
"23",2013-10-02,638,1819
"24",2013-09-02,606,1911
"25",2013-04-03,618,1908
"26",2013-08-03,534,1957
"27",2013-12-03,752,1707
"28",2013-02-03,751,1756
"29",2013-01-03,809,1719
"30",2013-07-03,507,2020
"31",2013-06-03,504,2012
"32",2013-03-03,711,1832
"33",2013-05-03,531,1942
"34",2013-11-03,716,1729
"35",2013-10-03,639,1817
"36",2013-09-03,607,1910
"37",2013-04-04,616,1909
"38",2013-08-04,535,1955
"39",2013-12-04,753,1706
"40",2013-02-04,750,1758
"41",2013-01-04,809,1720
"42",2013-07-04,508,2020
"43",2013-06-04,503,2013
"44",2013-03-04,710,1833
"45",2013-05-04,530,1943
"46",2013-11-04,717,1728
"47",2013-10-04,640,1815
"48",2013-09-04,608,1908
"49",2013-04-05,614,1910
"50",2013-08-05,536,1954
"51",2013-12-05,754,1706
"52",2013-02-05,749,1759
"53",2013-01-05,809,1721
"54",2013-07-05,508,2020
"55",2013-06-05,503,2013
"56",2013-03-05,708,1834
"57",2013-05-05,529,1944
"58",2013-11-05,719,1727
"59",2013-10-05,641,1813
"60",2013-09-05,609,1906
"61",2013-04-06,613,1911
"62",2013-08-06,537,1953
"63",2013-12-06,755,1706
"64",2013-02-06,747,1800
"65",2013-01-06,809,1722
"66",2013-07-06,509,2019
"67",2013-06-06,503,2014
"68",2013-03-06,706,1836
"69",2013-05-06,527,1945
"70",2013-11-06,720,1726
"71",2013-10-06,643,1812
"72",2013-09-06,610,1904
"73",2013-04-07,611,1913
"74",2013-08-07,538,1952
"75",2013-12-07,756,1706
"76",2013-02-07,746,1801
"77",2013-01-07,809,1723
"78",2013-07-07,510,2019
"79",2013-06-07,502,2015
"80",2013-03-07,705,1837
"81",2013-05-07,526,1946
"82",2013-11-07,721,1725
"83",2013-10-07,644,1810
"84",2013-09-07,611,1903
"85",2013-04-08,609,1914
"86",2013-08-08,539,1950
"87",2013-12-08,757,1706
"88",2013-02-08,745,1803
"89",2013-01-08,809,1724
"90",2013-07-08,510,2019
"91",2013-06-08,502,2015
"92",2013-03-08,703,1838
"93",2013-05-08,525,1948
"94",2013-11-08,722,1724
"95",2013-10-08,645,1808
"96",2013-09-08,612,1901
"97",2013-04-09,608,1915
"98",2013-08-09,540,1949
"99",2013-12-09,758,1706
"100",2013-02-09,744,1804
"101",2013-01-09,809,1725
"102",2013-07-09,511,2018
"103",2013-06-09,502,2016
"104",2013-03-09,701,1839
"105",2013-05-09,524,1949
"106",2013-11-09,724,1723
"107",2013-10-09,646,1807
"108",2013-09-09,613,1859
"109",2013-04-10,606,1916
"110",2013-08-10,541,1948
"111",2013-12-10,759,1706
"112",2013-02-10,743,1805
"113",2013-01-10,808,1726
"114",2013-07-10,512,2018
"115",2013-06-10,502,2016
"116",2013-03-10,700,1840
"117",2013-05-10,523,1950
"118",2013-11-10,725,1722
"119",2013-10-10,647,1805
"120",2013-09-10,614,1857
"121",2013-04-11,604,1917
"122",2013-08-11,542,1946
"123",2013-12-11,759,1706
"124",2013-02-11,741,1807
"125",2013-01-11,808,1727
"126",2013-07-11,512,2017
"127",2013-06-11,502,2017
"128",2013-03-11,658,1842
"129",2013-05-11,521,1951
"130",2013-11-11,726,1720
"131",2013-10-11,648,1803
"132",2013-09-11,615,1856
"133",2013-04-12,603,1918
"134",2013-08-12,543,1945
"135",2013-12-12,800,1706
"136",2013-02-12,740,1808
"137",2013-01-12,808,1729
"138",2013-07-12,513,2017
"139",2013-06-12,501,2017
"140",2013-03-12,656,1843
"141",2013-05-12,520,1952
"142",2013-11-12,727,1719
"143",2013-10-12,649,1802
"144",2013-09-12,616,1854
"145",2013-04-13,601,1919
"146",2013-08-13,544,1943
"147",2013-12-13,801,1707
"148",2013-02-13,739,1809
"149",2013-01-13,807,1730
"150",2013-07-13,514,2016
"151",2013-06-13,501,2018
"152",2013-03-13,654,1844
"153",2013-05-13,519,1953
"154",2013-11-13,729,1719
"155",2013-10-13,651,1800
"156",2013-09-13,617,1852
"157",2013-04-14,559,1921
"158",2013-08-14,546,1942
"159",2013-12-14,802,1707
"160",2013-02-14,737,1811
"161",2013-01-14,807,1731
"162",2013-07-14,515,2015
"163",2013-06-14,501,2018
"164",2013-03-14,653,1845
"165",2013-05-14,518,1954
"166",2013-11-14,730,1718
"167",2013-10-14,652,1758
"168",2013-09-14,619,1850
"169",2013-04-15,558,1922
"170",2013-08-15,547,1940
"171",2013-12-15,802,1707
"172",2013-02-15,736,1812
"173",2013-01-15,806,1732
"174",2013-07-15,516,2015
"175",2013-06-15,501,2019
"176",2013-03-15,651,1846
"177",2013-05-15,517,1955
"178",2013-11-15,731,1717
"179",2013-10-15,653,1757
"180",2013-09-15,620,1849
"181",2013-04-16,556,1923
"182",2013-08-16,548,1939
"183",2013-12-16,803,1707
"184",2013-02-16,734,1813
"185",2013-01-16,806,1733
"186",2013-07-16,516,2014
"187",2013-06-16,501,2019
"188",2013-03-16,649,1847
"189",2013-05-16,516,1956
"190",2013-11-16,732,1716
"191",2013-10-16,654,1755
"192",2013-09-16,621,1847
"193",2013-04-17,555,1924
"194",2013-08-17,549,1937
"195",2013-12-17,804,1708
"196",2013-02-17,733,1814
"197",2013-01-17,805,1734
"198",2013-07-17,517,2013
"199",2013-06-17,501,2019
"200",2013-03-17,647,1849
"201",2013-05-17,515,1957
"202",2013-11-17,734,1715
"203",2013-10-17,655,1754
"204",2013-09-17,622,1845
"205",2013-04-18,553,1925
"206",2013-08-18,550,1936
"207",2013-12-18,804,1708
"208",2013-02-18,731,1816
"209",2013-01-18,805,1736
"210",2013-07-18,518,2013
"211",2013-06-18,502,2020
"212",2013-03-18,646,1850
"213",2013-05-18,514,1958
"214",2013-11-18,735,1714
"215",2013-10-18,656,1752
"216",2013-09-18,623,1843
"217",2013-04-19,551,1926
"218",2013-08-19,551,1934
"219",2013-12-19,805,1708
"220",2013-02-19,730,1817
"221",2013-01-19,804,1737
"222",2013-07-19,519,2012
"223",2013-06-19,502,2020
"224",2013-03-19,644,1851
"225",2013-05-19,513,1959
"226",2013-11-19,736,1713
"227",2013-10-19,658,1750
"228",2013-09-19,624,1842
"229",2013-04-20,550,1927
"230",2013-08-20,552,1933
"231",2013-12-20,806,1709
"232",2013-02-20,729,1818
"233",2013-01-20,804,1738
"234",2013-07-20,520,2011
"235",2013-06-20,502,2020
"236",2013-03-20,642,1852
"237",2013-05-20,513,2000
"238",2013-11-20,737,1713
"239",2013-10-20,659,1749
"240",2013-09-20,625,1840
"241",2013-04-21,548,1928
"242",2013-08-21,553,1931
"243",2013-12-21,806,1709
"244",2013-02-21,727,1820
"245",2013-01-21,803,1739
"246",2013-07-21,521,2010
"247",2013-06-21,502,2021
"248",2013-03-21,640,1853
"249",2013-05-21,512,2001
"250",2013-11-21,738,1712
"251",2013-10-21,700,1747
"252",2013-09-21,626,1838
"253",2013-04-22,547,1930
"254",2013-08-22,554,1930
"255",2013-12-22,807,1710
"256",2013-02-22,726,1821
"257",2013-01-22,802,1741
"258",2013-07-22,522,2009
"259",2013-06-22,502,2021
"260",2013-03-22,639,1854
"261",2013-05-22,511,2002
"262",2013-11-22,740,1711
"263",2013-10-22,701,1746
"264",2013-09-22,627,1836
"265",2013-04-23,545,1931
"266",2013-08-23,555,1928
"267",2013-12-23,807,1710
"268",2013-02-23,724,1822
"269",2013-01-23,801,1742
"270",2013-07-23,523,2008
"271",2013-06-23,503,2021
"272",2013-03-23,637,1856
"273",2013-05-23,510,2003
"274",2013-11-23,741,1711
"275",2013-10-23,702,1744
"276",2013-09-23,628,1834
"277",2013-04-24,544,1932
"278",2013-08-24,556,1926
"279",2013-12-24,807,1711
"280",2013-02-24,722,1823
"281",2013-01-24,801,1743
"282",2013-07-24,524,2007
"283",2013-06-24,503,2021
"284",2013-03-24,635,1857
"285",2013-05-24,509,2004
"286",2013-11-24,742,1710
"287",2013-10-24,704,1743
"288",2013-09-24,629,1833
"289",2013-04-25,542,1933
"290",2013-08-25,557,1925
"291",2013-12-25,808,1712
"292",2013-02-25,721,1825
"293",2013-01-25,800,1744
"294",2013-07-25,525,2007
"295",2013-06-25,503,2021
"296",2013-03-25,634,1858
"297",2013-05-25,509,2005
"298",2013-11-25,743,1710
"299",2013-10-25,705,1742
"300",2013-09-25,630,1831
"301",2013-04-26,541,1934
"302",2013-08-26,558,1923
"303",2013-12-26,808,1712
"304",2013-02-26,719,1826
"305",2013-01-26,759,1746
"306",2013-07-26,526,2006
"307",2013-06-26,504,2021
"308",2013-03-26,632,1859
"309",2013-05-26,508,2006
"310",2013-11-26,744,1709
"311",2013-10-26,706,1740
"312",2013-09-26,631,1829
"313",2013-04-27,539,1935
"314",2013-08-27,559,1921
"315",2013-12-27,808,1713
"316",2013-02-27,718,1827
"317",2013-01-27,758,1747
"318",2013-07-27,527,2005
"319",2013-06-27,504,2021
"320",2013-03-27,630,1900
"321",2013-05-27,507,2006
"322",2013-11-27,745,1709
"323",2013-10-27,707,1739
"324",2013-09-27,633,1827
"325",2013-04-28,538,1936
"326",2013-08-28,600,1920
"327",2013-12-28,809,1714
"328",2013-02-28,716,1828
"329",2013-01-28,757,1748
"330",2013-07-28,528,2003
"331",2013-06-28,504,2021
"332",2013-03-28,628,1901
"333",2013-05-28,507,2007
"334",2013-11-28,747,1708
"335",2013-10-28,708,1737
"336",2013-09-28,634,1826
"337",2013-04-29,537,1938
"338",2013-08-29,602,1918
"339",2013-12-29,809,1715
"340",2013-01-29,756,1750
"341",2013-07-29,529,2002
"342",2013-06-29,505,2021
"343",2013-03-29,627,1902
"344",2013-05-29,506,2008
"345",2013-11-29,748,1708
"346",2013-10-29,710,1736
"347",2013-09-29,635,1824
"348",2013-04-30,535,1939
"349",2013-08-30,603,1916
"350",2013-12-30,809,1715
"351",2013-01-30,755,1751
"352",2013-07-30,530,2001
"353",2013-06-30,505,2021
"354",2013-03-30,625,1903
"355",2013-05-30,505,2009
"356",2013-11-30,749,1707
"357",2013-10-30,711,1735
"358",2013-09-30,636,1822
"359",2013-08-31,604,1915
"360",2013-12-31,809,1716
"361",2013-01-31,754,1752
"362",2013-07-31,531,2000
"363",2013-03-31,623,1905
"364",2013-05-31,505,2010
"365",2013-10-31,712,1733
"366",2014-04-01,622,1905
"367",2014-08-01,532,1959
"368",2014-12-01,750,1707
"369",2014-02-01,753,1753
"370",2014-01-01,809,1717
"371",2014-07-01,506,2021
"372",2014-06-01,505,2010
"373",2014-03-01,715,1829
"374",2014-05-01,534,1940
"375",2014-11-01,713,1732
"376",2014-10-01,637,1821
"377",2014-09-01,604,1914
"378",2014-04-02,620,1907
"379",2014-08-02,533,1958
"380",2014-12-02,751,1707
"381",2014-02-02,752,1755
"382",2014-01-02,809,1718
"383",2014-07-02,506,2021
"384",2014-06-02,504,2011
"385",2014-03-02,713,1830
"386",2014-05-02,533,1941
"387",2014-11-02,714,1731
"388",2014-10-02,638,1819
"389",2014-09-02,606,1912
"390",2014-04-03,618,1908
"391",2014-08-03,534,1957
"392",2014-12-03,752,1707
"393",2014-02-03,751,1756
"394",2014-01-03,809,1719
"395",2014-07-03,507,2020
"396",2014-06-03,504,2012
"397",2014-03-03,712,1832
"398",2014-05-03,532,1942
"399",2014-11-03,716,1730
"400",2014-10-03,639,1817
"401",2014-09-03,607,1910
"402",2014-04-04,617,1909
"403",2014-08-04,535,1956
"404",2014-12-04,753,1707
"405",2014-02-04,750,1757
"406",2014-01-04,809,1720
"407",2014-07-04,507,2020
"408",2014-06-04,503,2013
"409",2014-03-04,710,1833
"410",2014-05-04,530,1943
"411",2014-11-04,717,1729
"412",2014-10-04,640,1816
"413",2014-09-04,608,1908
"414",2014-04-05,615,1910
"415",2014-08-05,536,1954
"416",2014-12-05,754,1706
"417",2014-02-05,749,1759
"418",2014-01-05,809,1721
"419",2014-07-05,508,2020
"420",2014-06-05,503,2013
"421",2014-03-05,708,1834
"422",2014-05-05,529,1944
"423",2014-11-05,718,1727
"424",2014-10-05,641,1814
"425",2014-09-05,609,1907
"426",2014-04-06,613,1911
"427",2014-08-06,537,1953
"428",2014-12-06,755,1706
"429",2014-02-06,748,1800
"430",2014-01-06,809,1722
"431",2014-07-06,509,2019
"432",2014-06-06,503,2014
"433",2014-03-06,707,1835
"434",2014-05-06,528,1945
"435",2014-11-06,719,1726
"436",2014-10-06,642,1812
"437",2014-09-06,610,1905
"438",2014-04-07,611,1912
"439",2014-08-07,538,1952
"440",2014-12-07,756,1706
"441",2014-02-07,747,1801
"442",2014-01-07,809,1723
"443",2014-07-07,509,2019
"444",2014-06-07,502,2015
"445",2014-03-07,705,1837
"446",2014-05-07,526,1946
"447",2014-11-07,721,1725
"448",2014-10-07,643,1810
"449",2014-09-07,611,1903
"450",2014-04-08,610,1913
"451",2014-08-08,539,1951
"452",2014-12-08,757,1706
"453",2014-02-08,745,1802
"454",2014-01-08,809,1724
"455",2014-07-08,510,2019
"456",2014-06-08,502,2015
"457",2014-03-08,703,1838
"458",2014-05-08,525,1947
"459",2014-11-08,722,1724
"460",2014-10-08,645,1809
"461",2014-09-08,612,1901
"462",2014-04-09,608,1915
"463",2014-08-09,540,1949
"464",2014-12-09,757,1706
"465",2014-02-09,744,1804
"466",2014-01-09,809,1725
"467",2014-07-09,511,2018
"468",2014-06-09,502,2016
"469",2014-03-09,702,1839
"470",2014-05-09,524,1948
"471",2014-11-09,723,1723
"472",2014-10-09,646,1807
"473",2014-09-09,613,1900
"474",2014-04-10,606,1916
"475",2014-08-10,541,1948
"476",2014-12-10,758,1706
"477",2014-02-10,743,1805
"478",2014-01-10,808,1726
"479",2014-07-10,512,2018
"480",2014-06-10,502,2016
"481",2014-03-10,700,1840
"482",2014-05-10,523,1949
"483",2014-11-10,724,1722
"484",2014-10-10,647,1805
"485",2014-09-10,614,1858
"486",2014-04-11,605,1917
"487",2014-08-11,542,1946
"488",2014-12-11,759,1706
"489",2014-02-11,742,1806
"490",2014-01-11,808,1727
"491",2014-07-11,512,2017
"492",2014-06-11,502,2017
"493",2014-03-11,658,1841
"494",2014-05-11,522,1951
"495",2014-11-11,726,1721
"496",2014-10-11,648,1804
"497",2014-09-11,615,1856
"498",2014-04-12,603,1918
"499",2014-08-12,543,1945
"500",2014-12-12,800,1706
"501",2014-02-12,740,1808
"502",2014-01-12,808,1728
"503",2014-07-12,513,2017
"504",2014-06-12,501,2017
"505",2014-03-12,657,1842
"506",2014-05-12,521,1952
"507",2014-11-12,727,1720
"508",2014-10-12,649,1802
"509",2014-09-12,616,1854
"510",2014-04-13,601,1919
"511",2014-08-13,544,1944
"512",2014-12-13,801,1707
"513",2014-02-13,739,1809
"514",2014-01-13,807,1729
"515",2014-07-13,514,2016
"516",2014-06-13,501,2018
"517",2014-03-13,655,1844
"518",2014-05-13,520,1953
"519",2014-11-13,728,1719
"520",2014-10-13,650,1800
"521",2014-09-13,617,1853
"522",2014-04-14,600,1920
"523",2014-08-14,545,1942
"524",2014-12-14,802,1707
"525",2014-02-14,738,1810
"526",2014-01-14,807,1731
"527",2014-07-14,515,2016
"528",2014-06-14,501,2018
"529",2014-03-14,653,1845
"530",2014-05-14,518,1954
"531",2014-11-14,730,1718
"532",2014-10-14,651,1759
"533",2014-09-14,618,1851
"534",2014-04-15,558,1921
"535",2014-08-15,546,1941
"536",2014-12-15,802,1707
"537",2014-02-15,736,1812
"538",2014-01-15,807,1732
"539",2014-07-15,515,2015
"540",2014-06-15,501,2019
"541",2014-03-15,651,1846
"542",2014-05-15,517,1955
"543",2014-11-15,731,1717
"544",2014-10-15,653,1757
"545",2014-09-15,619,1849
"546",2014-04-16,557,1923
"547",2014-08-16,547,1939
"548",2014-12-16,803,1707
"549",2014-02-16,735,1813
"550",2014-01-16,806,1733
"551",2014-07-16,516,2014
"552",2014-06-16,501,2019
"553",2014-03-16,650,1847
"554",2014-05-16,516,1956
"555",2014-11-16,732,1716
"556",2014-10-16,654,1756
"557",2014-09-16,620,1847
"558",2014-04-17,555,1924
"559",2014-08-17,548,1938
"560",2014-12-17,804,1708
"561",2014-02-17,733,1814
"562",2014-01-17,805,1734
"563",2014-07-17,517,2014
"564",2014-06-17,501,2019
"565",2014-03-17,648,1848
"566",2014-05-17,515,1957
"567",2014-11-17,733,1715
"568",2014-10-17,655,1754
"569",2014-09-17,621,1846
"570",2014-04-18,553,1925
"571",2014-08-18,550,1936
"572",2014-12-18,804,1708
"573",2014-02-18,732,1815
"574",2014-01-18,805,1735
"575",2014-07-18,518,2013
"576",2014-06-18,502,2020
"577",2014-03-18,646,1849
"578",2014-05-18,515,1958
"579",2014-11-18,734,1714
"580",2014-10-18,656,1752
"581",2014-09-18,623,1844
"582",2014-04-19,552,1926
"583",2014-08-19,551,1935
"584",2014-12-19,805,1708
"585",2014-02-19,730,1817
"586",2014-01-19,804,1737
"587",2014-07-19,519,2012
"588",2014-06-19,502,2020
"589",2014-03-19,644,1851
"590",2014-05-19,514,1959
"591",2014-11-19,736,1714
"592",2014-10-19,657,1751
"593",2014-09-19,624,1842
"594",2014-04-20,550,1927
"595",2014-08-20,552,1933
"596",2014-12-20,805,1709
"597",2014-02-20,729,1818
"598",2014-01-20,804,1738
"599",2014-07-20,520,2011
"600",2014-06-20,502,2020
"601",2014-03-20,643,1852
"602",2014-05-20,513,2000
"603",2014-11-20,737,1713
"604",2014-10-20,658,1749
"605",2014-09-20,625,1840
"606",2014-04-21,549,1928
"607",2014-08-21,553,1932
"608",2014-12-21,806,1709
"609",2014-02-21,727,1819
"610",2014-01-21,803,1739
"611",2014-07-21,521,2010
"612",2014-06-21,502,2020
"613",2014-03-21,641,1853
"614",2014-05-21,512,2001
"615",2014-11-21,738,1712
"616",2014-10-21,700,1748
"617",2014-09-21,626,1838
"618",2014-04-22,547,1929
"619",2014-08-22,554,1930
"620",2014-12-22,806,1710
"621",2014-02-22,726,1820
"622",2014-01-22,802,1740
"623",2014-07-22,522,2010
"624",2014-06-22,502,2021
"625",2014-03-22,639,1854
"626",2014-05-22,511,2002
"627",2014-11-22,739,1712
"628",2014-10-22,701,1746
"629",2014-09-22,627,1837
"630",2014-04-23,546,1930
"631",2014-08-23,555,1928
"632",2014-12-23,807,1710
"633",2014-02-23,724,1822
"634",2014-01-23,802,1742
"635",2014-07-23,523,2009
"636",2014-06-23,503,2021
"637",2014-03-23,637,1855
"638",2014-05-23,510,2003
"639",2014-11-23,741,1711
"640",2014-10-23,702,1745
"641",2014-09-23,628,1835
"642",2014-04-24,544,1932
"643",2014-08-24,556,1927
"644",2014-12-24,807,1711
"645",2014-02-24,723,1823
"646",2014-01-24,801,1743
"647",2014-07-24,524,2008
"648",2014-06-24,503,2021
"649",2014-03-24,636,1856
"650",2014-05-24,509,2004
"651",2014-11-24,742,1710
"652",2014-10-24,703,1743
"653",2014-09-24,629,1833
"654",2014-04-25,543,1933
"655",2014-08-25,557,1925
"656",2014-12-25,808,1712
"657",2014-02-25,721,1824
"658",2014-01-25,800,1744
"659",2014-07-25,525,2007
"660",2014-06-25,503,2021
"661",2014-03-25,634,1858
"662",2014-05-25,509,2004
"663",2014-11-25,743,1710
"664",2014-10-25,705,1742
"665",2014-09-25,630,1831
"666",2014-04-26,541,1934
"667",2014-08-26,558,1924
"668",2014-12-26,808,1712
"669",2014-02-26,720,1825
"670",2014-01-26,759,1745
"671",2014-07-26,526,2006
"672",2014-06-26,504,2021
"673",2014-03-26,632,1859
"674",2014-05-26,508,2005
"675",2014-11-26,744,1709
"676",2014-10-26,706,1740
"677",2014-09-26,631,1830
"678",2014-04-27,540,1935
"679",2014-08-27,559,1922
"680",2014-12-27,808,1713
"681",2014-02-27,718,1827
"682",2014-01-27,758,1747
"683",2014-07-27,527,2005
"684",2014-06-27,504,2021
"685",2014-03-27,630,1900
"686",2014-05-27,507,2006
"687",2014-11-27,745,1709
"688",2014-10-27,707,1739
"689",2014-09-27,632,1828
"690",2014-04-28,538,1936
"691",2014-08-28,600,1920
"692",2014-12-28,809,1714
"693",2014-02-28,716,1828
"694",2014-01-28,757,1748
"695",2014-07-28,528,2004
"696",2014-06-28,504,2021
"697",2014-03-28,629,1901
"698",2014-05-28,507,2007
"699",2014-11-28,746,1708
"700",2014-10-28,708,1738
"701",2014-09-28,633,1826
"702",2014-04-29,537,1937
"703",2014-08-29,601,1919
"704",2014-12-29,809,1714
"705",2014-01-29,756,1749
"706",2014-07-29,529,2003
"707",2014-06-29,505,2021
"708",2014-03-29,627,1902
"709",2014-05-29,506,2008
"710",2014-11-29,747,1708
"711",2014-10-29,709,1736
"712",2014-09-29,634,1824
"713",2014-04-30,536,1938
"714",2014-08-30,602,1917
"715",2014-12-30,809,1715
"716",2014-01-30,755,1751
"717",2014-07-30,530,2002
"718",2014-06-30,505,2021
"719",2014-03-30,625,1903
"720",2014-05-30,506,2009
"721",2014-11-30,749,1708
"722",2014-10-30,711,1735
"723",2014-09-30,636,1822
"724",2014-08-31,603,1915
"725",2014-12-31,809,1716
"726",2014-01-31,754,1752
"727",2014-07-31,531,2000
"728",2014-03-31,623,1904
"729",2014-05-31,505,2010
"730",2014-10-31,712,1734
